run_id,condition,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response,audio_data,key_press,type,item_id,read,correct,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
9,1,2867.199999988079,informed_consent.html,external-html,0,3490,0.0-0.0,"""","""","""","""","""","""","""","""","2021-07-11 04:21:54",60.65.67.115,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
9,1,8479.600000023842,"""",html-keyboard-response,1,11973,0.0-1.0,"
    <p>キーを押すと練習課題に移ってしまうので、<br>
    以下のお願いを全て読んでからキーを押してください。<br><br>
    最初の産出実験では、一番上に表示される単語を<br>
    標準語で2回ずつ読み上げていただきます。<br> <br>
    キーを押すと2セットの練習課題に移ります。<br>
    必要に応じてマイクの許可をお願いいたします。</p>
    "," ","""","""","""","""","""","""","2021-07-11 04:21:54",60.65.67.115,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Macintosh,Chrome,91.0.4472.114,"OS X",10_15_7
